environment,data_size_pub,n,mean_manual,mean_rec,p95_manual,p95_rec,mean_imp_pct
cpk,512.0,1,0.5606148613151163,0.2744565464090556,0.5606148613151163,0.2744565464090556,51.04365486044684
cpk,9024.0,1,0.2750283021014184,0.2708267045672983,0.2750283021014184,0.2708267045672983,1.527696423246913
cpk,65536.0,1,1.3842609499115497,1.376939730718732,1.3842609499115497,1.376939730718732,0.5288901050979867
lpk,512.0,3,0.20156058444020641,0.13307685649488118,0.4566859877319075,0.28456251877360045,22.72369098910491
lpk,2048.0,3,0.1239558925929789,0.09034167350425071,0.17955293055856594,0.15718230723869053,33.31850067190127
lpk,9024.0,3,0.28939971960304917,0.24017065887649847,0.4228340313769876,0.3867515417281537,17.79639701352259
lpk,16384.0,3,0.550577950081788,0.44129626584860177,0.7352122347103431,0.665203913487494,23.187330574815302
lpk,65536.0,3,1.4676076790007453,1.232960432030571,2.1525605325005017,1.6679477118421346,13.144066966288015
lrk,512.0,3,1.1447610097626846,0.7444186356539527,1.9810369227081537,1.5329990037716925,48.47474188885906
lrk,1638.0,3,0.13656969523678217,0.1278017725174625,0.26610449571162453,0.2640316151082515,12.993585583071123
lrk,2048.0,3,0.5885882399355372,0.30544522249450284,1.1418099074624477,0.7316119168885051,58.203962048240584
lrk,9024.0,3,0.4732899411271016,0.3459707194318374,0.874630516115576,0.6019305517897009,21.897630991582144
lrk,65336.0,3,3.039134140436848,2.2174568530172105,5.505622302554547,3.6044246602803462,19.627451997952278
