encryption_type,compress_method,hash_mode,count
aes-gcm,bz2,hash,110
aes-gcm,bz2,none,110
aes-gcm,gzip,hash,110
aes-gcm,gzip,none,110
aes-gcm,lz4,hash,110
aes-gcm,lz4,none,110
aes-gcm,lzma,hash,110
aes-gcm,lzma,none,110
aes-gcm,none,hash,110
aes-gcm,none,none,110
aes-gcm,snappy,hash,110
aes-gcm,snappy,none,110
aes-gcm,zlib,hash,110
aes-gcm,zlib,none,110
ascon,bz2,hash,110
ascon,bz2,none,110
ascon,gzip,hash,110
ascon,gzip,none,110
ascon,lz4,hash,110
ascon,lz4,none,110
