policy,count,ratio
aes-gcm|zlib|none,2,0.13333333333333333
chacha20-poly1305|gzip|none,2,0.13333333333333333
none|bz2|hash,2,0.13333333333333333
none|gzip|none,2,0.13333333333333333
aes-gcm|bz2|none,1,0.06666666666666667
aes-gcm|gzip|hash,1,0.06666666666666667
chacha20-poly1305|gzip|hash,1,0.06666666666666667
chacha20-poly1305|bz2|hash,1,0.06666666666666667
none|bz2|none,1,0.06666666666666667
none|gzip|hash,1,0.06666666666666667
none|zlib|none,1,0.06666666666666667
