iter	RMSE
126	0.3881632979
127	0.3881231098
128	0.388065527
129	0.3880210546
130	0.3879483969
131	0.3879035339
132	0.3878696864
133	0.3878323133
134	0.3877991001
135	0.3877650957
136	0.3877355524
137	0.3877049309
138	0.387668039
139	0.3876182665
140	0.3875910034
141	0.3875605696
142	0.387526662
143	0.3874868411
144	0.3874491302
145	0.3874200501
146	0.3873885592
147	0.3873492228
148	0.3873249064
149	0.3873023827
150	0.3872797247
151	0.3872482637
152	0.3872219466
153	0.3871913708
154	0.3871612325
155	0.3871416593
156	0.3871197844
157	0.3870910185
158	0.3870636338
159	0.3870359476
160	0.3870072283
161	0.386983692
162	0.3869627648
163	0.3869381242
164	0.3869223841
165	0.3868997651
166	0.3868678421
167	0.3868440977
168	0.3868141332
169	0.3867927283
170	0.3867768945
171	0.3867521784
172	0.3867365397
173	0.3867210723
174	0.386702908
175	0.3866887898
176	0.3866628109
177	0.3866478334
178	0.3866360644
179	0.3866327445
180	0.3866120043
181	0.386594481
182	0.3865790677
183	0.3865611702
184	0.3865450953
185	0.3865331711
186	0.3865214694
187	0.3865175884
188	0.3865014749
189	0.3864850184
190	0.3864746616
191	0.3864689296
192	0.3864480094
193	0.3864331816
194	0.3864233993
195	0.3864104775
196	0.3863983154
197	0.3863828086
198	0.3863649697
199	0.3863569743
200	0.3863435659
201	0.3863333222
202	0.3863213706
203	0.3863125078
204	0.3863042963
205	0.3862975112
206	0.3862883974
207	0.3862845215
208	0.3862709373
209	0.3862701539
210	0.3862597257
211	0.3862451624
212	0.3862277645
213	0.3862210432
214	0.3862085324
215	0.3861970253
216	0.3861893389
217	0.3861779676
218	0.3861703232
219	0.3861614361
220	0.3861465296
221	0.3861381096
222	0.3861254492
223	0.3861173949
224	0.3861071935
225	0.3861006568
226	0.3860936588
227	0.3860790397
228	0.3860719148
229	0.386060909
230	0.3860535814
231	0.3860455605
232	0.3860340913
233	0.386024176
234	0.3860118213
235	0.3860043707
236	0.3859979979
237	0.3859868722
238	0.3859810004
239	0.3859749652
240	0.3859645424
241	0.3859582959
242	0.3859501568
243	0.3859440382
244	0.3859349755
245	0.3859229334
246	0.3859132703
247	0.3859082978
248	0.3859024072
249	0.3858975214
250	0.3858918306
251	0.3858848827
252	0.3858787323
253	0.385868707
254	0.385868563
255	0.3858610272
256	0.3858559457
257	0.3858471185
258	0.3858381614
259	0.3858283139
260	0.3858211859
261	0.3858154196
262	0.3858072827
263	0.3857986094
264	0.3857899126
265	0.3857859332
266	0.3857794403
267	0.3857710391
268	0.385766468
269	0.3857596559
270	0.3857545585
271	0.3857501855
272	0.3857435934
273	0.3857385289
274	0.3857324299
275	0.3857254682
276	0.3857207186
277	0.3857145839
278	0.385707425
279	0.3857034231
280	0.3856960671
281	0.3856921944
282	0.3856838648
283	0.3856765741
284	0.3856710754
285	0.3856635899
286	0.3856580924
287	0.3856511858
288	0.3856449119
289	0.3856389898
290	0.3856325512
291	0.3856275811
292	0.3856227255
293	0.3856174658
294	0.3856169683
295	0.3856119973
296	0.3856073652
297	0.3856019605
298	0.385597226
299	0.3855915416
300	0.3855851396
301	0.3855824072
302	0.3855792788
303	0.3855755931
304	0.3855712344
305	0.385565789
306	0.3855617641
307	0.3855577275
308	0.3855528058
309	0.3855472444
310	0.3855415706
311	0.3855364704
312	0.385531825
313	0.3855250838
314	0.3855202418
315	0.3855141433
316	0.3855100476
317	0.3855066827
318	0.3855028262
319	0.3854990792
320	0.3854966498
321	0.3854920006
322	0.3854863792
323	0.3854829661
324	0.3854783566
325	0.3854752176
326	0.3854704944
327	0.3854666667
328	0.3854628229
329	0.3854585495
330	0.3854556329
331	0.3854514966
332	0.3854479152
333	0.3854438851
334	0.3854399047
335	0.3854352761
336	0.3854322894
337	0.3854282347
338	0.385424943
339	0.3854216676
340	0.3854178923
341	0.3854147246
342	0.3854127202
343	0.3854091063
344	0.3854054394
345	0.3854025268
346	0.3854003075
347	0.3853974483
348	0.3853932471
349	0.3853903358
350	0.3853862287
351	0.3853830169
352	0.385380542
353	0.3853770857
354	0.3853732796
355	0.3853707384
356	0.3853679727
357	0.3853650361
358	0.385362219
359	0.3853588872
360	0.3853542068
361	0.3853519629
362	0.3853489577
363	0.3853459107
364	0.3853437558
365	0.3853413735
366	0.3853384637
367	0.3853350275
368	0.3853318728
369	0.3853284155
370	0.385326188
371	0.3853243471
372	0.3853213705
373	0.3853184712
374	0.3853163173
375	0.3853147224
376	0.3853125916
377	0.3853101353
378	0.3853080488
379	0.3853060734
380	0.3853042675
381	0.3853023257
382	0.3852994318
383	0.3852980147
384	0.3852953059
385	0.3852920985
386	0.3852891623
387	0.3852873728
388	0.3852851445
389	0.3852822752
390	0.3852811474
391	0.385278968
392	0.3852766982
393	0.385274602
394	0.3852722728
395	0.3852708851
396	0.3852684646
397	0.3852659877
398	0.3852640752
399	0.3852622675
400	0.385260206
401	0.3852574121
402	0.3852552369
403	0.3852527476
404	0.3852502196
405	0.385248556
406	0.3852474215
407	0.3852453707
408	0.3852432374
409	0.3852416213
410	0.3852358909
411	0.385233869
412	0.3852316463
413	0.3852293548
414	0.3852266853
415	0.3852248502
416	0.3852210423
417	0.3852185731
418	0.3852162488
419	0.385213951
420	0.38521141
421	0.3852100688
422	0.3852080695
423	0.3852051456
424	0.3852023049
425	0.3852003905
426	0.3851982222
427	0.3851966244
428	0.3851949527
429	0.3851933333
430	0.3851915325
431	0.3851891831
432	0.3851874847
433	0.3851852762
434	0.38518291
435	0.3851808493
436	0.3851799013
437	0.3851776691
438	0.3851756524
439	0.3851736496
440	0.3851719499
441	0.3851706697
442	0.3851648619
443	0.3851628464
444	0.3851602861
445	0.3851577125
446	0.3851552332
447	0.3851533726
448	0.3851522122
449	0.3851506314
450	0.3851481013
451	0.3851466158
452	0.3851447505
453	0.3851427519
454	0.385141193
455	0.3851388531
456	0.3851368019
457	0.3851349818
458	0.3851338839
459	0.3851326022
460	0.3851303638
461	0.3851286771
462	0.3851272222
463	0.3851251356
464	0.3851236962
465	0.3851220768
466	0.3851187992
467	0.3851172085
468	0.3851155417
469	0.3851128294
470	0.385111385
471	0.3851101608
472	0.3851084827
473	0.3851065811
474	0.3851049809
475	0.3851037095
476	0.3851012375
477	0.3850989345
478	0.385097781
479	0.3850963738
480	0.3850952334
481	0.3850933775
482	0.3850918494
483	0.3850906667
484	0.3850892239
485	0.3850877337
486	0.3850848611
487	0.3850827446
488	0.3850814727
489	0.3850792286
490	0.3850762447
491	0.3850751613
492	0.3850737371
493	0.3850724136
494	0.385071276
495	0.3850705114
496	0.3850691716
497	0.3850679592
498	0.3850655922
499	0.3850641059
500	0.3850628161
501	0.3850616019
502	0.3850606099
503	0.385059655
504	0.3850582548
505	0.3850564152
506	0.3850549635
507	0.3850540147
508	0.3850531465
509	0.3850517058
510	0.3850505457
511	0.3850497369
512	0.3850485803
513	0.3850475159
514	0.3850451276
515	0.3850433433
516	0.38503908
517	0.3850356123
518	0.3850341545
519	0.3850319212
520	0.3850303106
521	0.3850291582
522	0.3850277174
523	0.3850267623
524	0.3850254564
525	0.3850239271
526	0.3850228926
527	0.3850188406
528	0.3850171429
529	0.3850157844
530	0.385014458
531	0.385013304
532	0.3850121061
533	0.385010323
534	0.385009256
535	0.3850079023
536	0.3850069938
537	0.3850060292
538	0.3850047191
539	0.385003906
540	0.3850030699
541	0.3850021163
542	0.3850009844
543	0.3850002177
544	0.3849993086
545	0.3849981781
546	0.384997327
547	0.3849958054
548	0.3849947856
549	0.3849937819
550	0.3849921773
551	0.3849912596
552	0.3849899166
553	0.3849887065
554	0.3849872816
555	0.3849860913
556	0.384984809
557	0.3849836585
558	0.3849824349
559	0.3849809553
560	0.3849798649
561	0.3849788366
562	0.3849780711
563	0.3849766951
564	0.3849736008
565	0.3849720566
566	0.3849710299
567	0.3849703498
568	0.384969659
569	0.384968372
570	0.3849673606
571	0.3849648586
572	0.3849638437
573	0.3849628195
574	0.3849617749
575	0.3849611438
576	0.3849605474
577	0.3849587752
578	0.3849580278
579	0.3849572234
580	0.3849561927
581	0.3849550062
582	0.3849538699
583	0.3849513616
584	0.3849506347
585	0.384949985
586	0.3849490574
587	0.3849480379
588	0.3849469442
589	0.3849456435
590	0.3849447568
591	0.3849438425
592	0.384942717
593	0.384942021
594	0.3849410341
595	0.3849402945
596	0.3849396552
597	0.3849390029
598	0.3849368097
599	0.3849359894
600	0.3849351237
601	0.3849343729
602	0.3849334178
603	0.3849326075
604	0.3849316943
605	0.3849309182
606	0.3849300249
607	0.3849297046
608	0.3849289592
609	0.38492805
610	0.384927098
611	0.3849264469
612	0.3849256657
613	0.3849248782
614	0.3849239448
615	0.3849232721
616	0.3849222121
617	0.3849213814
618	0.3849205798
619	0.38491959
620	0.3849190355
621	0.3849181534
622	0.3849172388
623	0.3849159147
624	0.3849153663
625	0.3849149185
626	0.3849141021
627	0.3849135471
628	0.3849129931
629	0.3849122205
630	0.3849114605
631	0.3849105643
632	0.3849075144
633	0.3849057024
634	0.3849049315
635	0.3849040619
636	0.3849033948
637	0.3849027426
638	0.3849017769
639	0.3849010637
640	0.3849000376
641	0.3848990838
642	0.3848981227
643	0.384897378
644	0.3848963325
645	0.384895587
646	0.3848947096
647	0.3848944178
648	0.3848938785
649	0.3848930404
650	0.3848924727
651	0.3848917717
652	0.384891429
653	0.3848907254
654	0.3848900576
655	0.3848893895
656	0.3848882838
657	0.3848870268
658	0.3848861451
659	0.3848856736
660	0.3848847598
661	0.3848839809
662	0.3848832674
663	0.3848825798
664	0.3848817297
665	0.3848807969
666	0.3848802764
667	0.3848792764
668	0.3848789738
669	0.3848785853
670	0.3848769316
671	0.3848765417
672	0.3848758829
673	0.3848752703
674	0.3848729775
675	0.3848724358
676	0.3848718117
677	0.3848712904
678	0.3848706746
679	0.3848699542
680	0.3848692264
681	0.3848685887
682	0.3848682354
683	0.3848679091
684	0.3848672462
685	0.3848665845
686	0.3848654403
687	0.3848647996
688	0.3848642114
689	0.3848639995
690	0.384862994
691	0.3848622608
692	0.3848615492
693	0.3848610377
694	0.3848603946
695	0.3848599741
696	0.3848594558
697	0.3848586831
698	0.3848579734
699	0.3848568366
700	0.3848562642
701	0.38485547
702	0.3848550796
703	0.3848531968
704	0.3848527932
705	0.3848524091
706	0.3848513561
707	0.3848507146
708	0.3848499947
709	0.3848497054
710	0.384849341
711	0.3848490031
712	0.3848485026
713	0.3848478381
714	0.3848475493
715	0.3848470211
716	0.3848464148
717	0.3848453683
718	0.3848450593
719	0.3848443477
720	0.3848438082
721	0.3848434929
722	0.3848430515
723	0.3848424691
724	0.3848419853
725	0.3848407127
726	0.3848401863
727	0.3848396455
728	0.3848394089
729	0.3848388126
730	0.3848381612
731	0.3848374182
732	0.3848368858
733	0.3848366303
734	0.3848361152
735	0.3848358331
736	0.3848352084
737	0.3848350334
738	0.3848345503
739	0.3848337955
740	0.384833048
741	0.3848328521
742	0.3848324849
743	0.3848309468
744	0.3848306093
745	0.3848300571
746	0.3848295653
747	0.3848291869
748	0.384828846
749	0.3848284392
750	0.3848280384
751	0.384827111
752	0.3848266577
753	0.3848262388
754	0.3848256742
755	0.3848253667
756	0.3848248781
757	0.3848244578
758	0.3848240298
759	0.384823766
760	0.3848232611
761	0.3848229922
762	0.3848227412
763	0.3848223846
764	0.3848215964
765	0.384821059
766	0.3848204837
767	0.3848202463
768	0.3848197317
769	0.3848195699
770	0.384819186
771	0.3848179384
772	0.3848172277
773	0.3848167185
774	0.3848161692
775	0.3848155557
776	0.3848149885
777	0.3848147124
778	0.3848143022
779	0.3848138396
780	0.3848136478
781	0.3848131688
782	0.3848127585
783	0.3848125548
784	0.3848121426
785	0.384811648
786	0.3848109809
787	0.3848107167
788	0.3848103135
789	0.3848099584
790	0.3848096408
791	0.3848091624
792	0.3848086597
793	0.3848084107
794	0.3848082557
795	0.3848075725
796	0.3848070063
797	0.3848066184
798	0.3848060061
799	0.3848055099
