iter	Passed	Remaining
401	17167	16996
402	17224	16968
403	17272	16930
404	17318	16891
405	17370	16857
406	17423	16824
407	17476	16790
408	17523	16752
409	17580	16722
410	17621	16678
411	17665	16636
412	17699	16585
413	17731	16532
414	17758	16474
415	17783	16415
416	17809	16357
417	17834	16298
418	17857	16237
419	17879	16176
420	17903	16117
421	17929	16059
422	17957	16004
423	17983	15947
424	18020	15900
425	18064	15859
426	18098	15809
427	18143	15769
428	18194	15734
429	18239	15694
430	18290	15659
431	18346	15628
432	18397	15592
433	18447	15556
434	18505	15527
435	18566	15500
436	18624	15470
437	18679	15438
438	18729	15401
439	18786	15370
440	18839	15336
441	18890	15300
442	18946	15268
443	19006	15239
444	19064	15208
445	19124	15179
446	19181	15147
447	19244	15120
448	19303	15090
449	19365	15061
450	19420	15028
451	19479	14997
452	19542	14969
453	19601	14938
454	19653	14902
455	19711	14870
456	19765	14835
457	19821	14801
458	19876	14766
459	19932	14732
460	19987	14697
461	20031	14655
462	20074	14611
463	20130	14577
464	20180	14538
465	20231	14500
466	20281	14461
467	20335	14426
468	20392	14392
469	20447	14357
470	20488	14311
471	20538	14272
472	20589	14234
473	20624	14184
474	20667	14140
475	20711	14097
476	20769	14064
477	20817	14023
478	20843	13968
479	20880	13920
480	20927	13878
481	20973	13837
482	21010	13789
483	21054	13746
484	21105	13707
485	21161	13672
486	21211	13632
487	21247	13584
488	21291	13541
489	21334	13497
490	21369	13448
491	21419	13408
492	21477	13374
493	21518	13329
494	21566	13288
495	21618	13249
496	21667	13210
497	21719	13171
498	21752	13121
499	21802	13081
500	21851	13041
501	21905	13003
502	21958	12965
503	22016	12930
504	22070	12892
505	22129	12857
506	22174	12814
507	22210	12766
508	22262	12727
509	22305	12683
510	22335	12631
511	22388	12593
512	22441	12554
513	22498	12518
514	22549	12478
515	22606	12442
516	22661	12404
517	22709	12363
518	22748	12316
519	22783	12268
520	22832	12227
521	22889	12189
522	22918	12138
523	22963	12095
524	23020	12058
525	23070	12017
526	23120	11976
527	23161	11931
528	23211	11890
529	23270	11854
530	23331	11819
531	23395	11785
532	23463	11753
533	23522	11717
534	23580	11679
535	23633	11640
536	23664	11589
537	23693	11538
538	23717	11484
539	23741	11431
540	23773	11381
541	23811	11334
542	23843	11284
543	23882	11239
544	23918	11191
545	23964	11148
546	24010	11105
547	24052	11060
548	24095	11016
549	24128	10967
550	24153	10914
551	24181	10864
552	24204	10811
553	24232	10760
554	24262	10710
555	24301	10664
556	24342	10619
557	24373	10570
558	24420	10528
559	24463	10484
560	24504	10439
561	24537	10391
562	24575	10345
563	24616	10300
564	24646	10251
565	24675	10201
566	24701	10150
567	24726	10099
568	24754	10049
569	24777	9998
570	24800	9946
571	24832	9898
572	24863	9849
573	24894	9801
574	24941	9759
575	24985	9716
576	25019	9669
577	25064	9626
578	25102	9581
579	25144	9537
580	25175	9489
581	25201	9439
582	25223	9388
583	25247	9338
584	25275	9289
585	25311	9243
586	25343	9196
587	25367	9146
588	25391	9096
589	25428	9050
590	25473	9008
591	25515	8964
592	25554	8920
593	25583	8872
594	25608	8822
595	25635	8774
596	25663	8726
597	25697	8680
598	25734	8635
599	25778	8592
600	25817	8548
601	25845	8500
602	25874	8453
603	25910	8407
604	25953	8365
605	25988	8319
606	26016	8272
607	26044	8224
608	26067	8175
609	26093	8127
