encryption_type,compress_method,hash_mode,count
aes-gcm,bz2,hash,3
aes-gcm,bz2,none,3
aes-gcm,gzip,none,3
aes-gcm,lz4,hash,3
aes-gcm,lz4,none,3
aes-gcm,lzma,hash,3
ascon,bz2,hash,3
aes-gcm,lzma,none,3
aes-gcm,none,hash,3
aes-gcm,none,none,3
aes-gcm,snappy,hash,3
aes-gcm,snappy,none,3
aes-gcm,zlib,hash,3
aes-gcm,zlib,none,3
ascon,lz4,hash,3
ascon,bz2,none,3
ascon,gzip,hash,3
ascon,gzip,none,3
ascon,lzma,hash,3
ascon,lz4,none,3
