baseline,n,coverage_manual,coverage_rec,mean_manual,mean_rec,p95_manual,p95_rec,sum_based_improvement_pct,mean_improvement_pct,sla_threshold,sla_violate_rate_manual,sla_violate_rate_rec
BL-1,3,1.0,1.0,1.62178031502602,0.640740993898362,2.959656686335802,1.2666914122877644,60.491505047767106,45.8212245520286,0.25,1.0,1.0
BL-2,3,1.0,1.0,2.5860123329330236,0.640740993898362,3.4305801159236577,1.2666914122877644,75.22281755046228,78.35505064417934,0.25,1.0,1.0
BL-3,3,1.0,1.0,1.3893514527784039,0.640740993898362,2.5814497074345124,1.2666914122877644,53.8820078521516,45.964582375199086,0.25,1.0,1.0
BL-auto,3,1.0,1.0,0.7399680377760282,0.640740993898362,1.3018963410519062,1.2666914122877644,13.409639175212584,17.700080462930583,0.25,1.0,1.0
